dataset,algorithm,variant,seed,hyperparameters,accuracy,f1_score,fit_time,predict_time,total_time_seconds,train_size,series_length,num_classes
InsectEPGSmallTrain,InceptionTime,Inception_Standard,0,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9437751004016064,0.9504221219242295,87.20594024658203,2.077073335647583,89.28301358222961,17,601,3
InsectEPGSmallTrain,InceptionTime,Inception_Standard,1,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9437751004016064,0.947875449614681,87.81491327285767,1.7198071479797363,89.5347204208374,17,601,3
InsectEPGSmallTrain,InceptionTime,Inception_Standard,2,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9397590361445783,0.943317000623335,86.99738383293152,1.5367975234985352,88.53418135643005,17,601,3
ItalyPowerDemand,InceptionTime,Inception_Standard,0,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9630709426627794,0.9630491317462597,147.8403422832489,1.561952829360962,149.40229511260986,67,24,2
ItalyPowerDemand,InceptionTime,Inception_Standard,1,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9659863945578231,0.9659863945578231,139.2642321586609,1.3146042823791504,140.57883644104004,67,24,2
ItalyPowerDemand,InceptionTime,Inception_Standard,2,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.966958211856171,0.9669511890997302,146.77123951911926,1.1811683177947998,147.95240783691406,67,24,2
Rock,InceptionTime,Inception_Standard,0,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.74,0.6981074481074481,187.8001263141632,1.8243942260742188,189.62452054023743,20,2844,4
Rock,InceptionTime,Inception_Standard,1,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.78,0.7633834586466166,187.76792931556702,1.4853723049163818,189.2533016204834,20,2844,4
Rock,InceptionTime,Inception_Standard,2,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.82,0.8224037104254891,187.0746626853943,1.4713037014007568,188.54596638679504,20,2844,4
SmoothSubspace,InceptionTime,Inception_Standard,0,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9733333333333334,0.9732905982905983,207.85916018486023,1.0018413066864014,208.86100149154663,150,15,3
SmoothSubspace,InceptionTime,Inception_Standard,1,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9866666666666667,0.986596618845558,207.29468631744385,0.8520464897155762,208.14673280715942,150,15,3
SmoothSubspace,InceptionTime,Inception_Standard,2,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9733333333333334,0.973327997865813,206.42907810211182,0.7668712139129639,207.19594931602478,150,15,3
Crop,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.7569642857142858,0.752169744083646,78.24353337287903,26.06882405281067,104.3123574256897,7200,46,24
Crop,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.7573214285714286,0.7520465328551036,75.04593253135681,26.22396731376648,101.26989984512329,7200,46,24
Crop,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.7541071428571429,0.7489676384810532,75.75446081161499,25.67371892929077,101.42817974090576,7200,46,24
Chinatown,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9795918367346939,0.974765893493363,13.478252172470093,4.79731297492981,18.275565147399902,20,24,2
Chinatown,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9825072886297376,0.9784385214986171,13.354045629501343,4.823644399642944,18.177690029144287,20,24,2
Chinatown,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9825072886297376,0.9784385214986171,13.420558214187622,4.794435024261475,18.214993238449097,20,24,2
DiatomSizeReduction,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9771241830065359,0.9704387553985842,13.65821361541748,7.513381481170654,21.171595096588135,16,345,4
DiatomSizeReduction,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9771241830065359,0.9706546100229599,13.845478773117065,6.631882667541504,20.47736144065857,16,345,4
DiatomSizeReduction,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9673202614379085,0.9622296176996625,14.943760395050049,6.6134033203125,21.55716371536255,16,345,4
ElectricDevices,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.7285695759304889,0.6473533007727527,122.30402088165283,21.088123559951782,143.39214444160461,8926,96,7
ElectricDevices,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.73258980676955,0.6510337504923728,122.52847981452942,21.685763359069824,144.21424317359924,8926,96,7
ElectricDevices,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.7302554791855791,0.6500501864424739,120.90962266921997,21.23988652229309,142.14950919151306,8926,96,7
FordB,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.8098765432098766,0.8098753840901332,83.84808111190796,12.050956964492798,95.89903807640076,3636,500,2
FordB,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.7987654320987654,0.798765125385041,83.8389184474945,12.411943912506104,96.25086236000061,3636,500,2
FordB,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.8111111111111111,0.8111108232141795,82.6373918056488,12.14157509803772,94.77896690368652,3636,500,2
Fungi,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",1.0,1.0,13.504396200180054,5.164856672286987,18.66925287246704,18,201,18
Fungi,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",1.0,1.0,13.606521129608154,5.254637241363525,18.86115837097168,18,201,18
Fungi,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",1.0,1.0,13.604421377182007,5.261236667633057,18.865658044815063,18,201,18
HandOutlines,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9432432432432433,0.9371740448756822,100.37865996360779,23.899353742599487,124.27801370620728,1000,2709,2
HandOutlines,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9459459459459459,0.9402763429752066,101.03103017807007,23.475850105285645,124.50688028335571,1000,2709,2
HandOutlines,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9405405405405406,0.9340591685298597,100.03926277160645,23.12983512878418,123.16909790039062,1000,2709,2
HouseTwenty,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9663865546218487,0.9653061224489796,17.06722903251648,9.110530376434326,26.177759408950806,40,2000,2
